13-02-2022 11:42,b'@JennyJenocon Grow up #maskoff',b'WendyPu01820112',b'Solihull'
07-02-2022 19:25,"b'#Masking:#REPORTER: ""If you could just clarify...do you think that at some point in the future...it would we approp\xe2\x80\xa6 https://t.co/zNiBxj0jlS'",b'sn00pdad',b''
,,,
07-02-2022 18:45,"b'#RulesForTheeButNotMe rolls on, this time with #BarackObama which obviously is not new since we saw him at his birt\xe2\x80\xa6 https://t.co/YcZEk2U3Om'",b'sn00pdad',b''
,,,
07-02-2022 17:18,"b'MA waiting to be the last state to ""follow the science"" is embarrassing. #EndTheMandates #MaskOff #StopChildAbuse\xe2\x80\xa6 https://t.co/IvtstBc8AA'",b'MAAgnstMandates',b''
,,,
07-02-2022 17:07,b'Coming to schools near me\xe2\x80\xa6 hopefully #maskoff https://t.co/dzeowaCsb0',b'urbeinglied2',"b'Chicago, IL'"
,,,
07-02-2022 16:33,b'$11.72 \n10pcs Vitamin C Skin Care Face Mask VC Sheet Mask Facemask Facial Masks Mascara Facial Korean Whitening Wom\xe2\x80\xa6 https://t.co/SFx5p7f1Oi',b'onlineshop995',"b'Braunschweig, Deutschland'"
,,,
07-02-2022 15:24,b'\xe2\x80\x9cPlay that \xe2\x80\x9cMask Off\xe2\x80\x9d when they find the real cure \xe2\x80\x9c\n\n@Drake about my @u_niverseNFT NFT\n\nJoin us in the UNIVERSE\xe2\x80\xa6 https://t.co/ugA864bHeW',b'sol_nerd',b'\xf0\x9f\x8c\x8e'
,,,
07-02-2022 12:42,"b'New #ValentinesDay  Face #Masks  2022\n#Shop your #tshirt ,#Hoodies ,#canvas  or Face Mask...\nSee More &amp; Shop here :\xe2\x80\xa6 https://t.co/Cr8edI1fKW'",b'JabaidulMd',"b'Dhaka,Bangladesh'"
,,,
07-02-2022 12:26,b'I got an idea to get rid of #smashandgrabs REMOVE THE MASKS! #MaskOff',b'kimberly2629',b'United States'
,,,
06-02-2022 20:28,b'Future - Mask Off (Official Music Video) https://t.co/m4zS8JTTjp via @YouTube \n\n#Future  #MaskOff',b'jewlz36529113',b'the Moon'
,,,
06-02-2022 19:34,"b'New #ValentinesDay  Face #Masks  2022\n#Shop your #tshirt ,#Hoodies ,#canvas  or Face Mask...\nSee More &amp; Shop here :\xe2\x80\xa6 https://t.co/NwvDvHnhIj'",b'JabaidulMd',"b'Dhaka,Bangladesh'"
,,,
06-02-2022 18:55,"b'#MaskOff \xf0\x9f\x98\x82\n@staceyabrams out here exposing the bs!\xf0\x9f\x98\x82\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\nThis is the most, if not the only, useful thing this broa\xe2\x80\xa6 https://t.co/AvopS2sN0a'",b'AmberGreene4GA',"b'Atlanta, GA'"
,,,
06-02-2022 18:19,b'@brianstelter @CNN @Acosta Now do a 7 min segment on @TYT and @AnaKasparian.\n\nCause that\xe2\x80\x99s the principle at play he\xe2\x80\xa6 https://t.co/LrAXWZ5EIE',b'Transgressionia',b''
,,,
06-02-2022 17:56,"b'New #ValentinesDay  Face #Masks  2022\n#Shop your #tshirt ,#Hoodies ,#canvas  or Face Mask...\nSee More &amp; Shop here :\xe2\x80\xa6 https://t.co/A40oqd0WGD'",b'JabaidulMd',"b'Dhaka,Bangladesh'"
,,,
06-02-2022 16:55,"b'A downstate judge temporarily halted school mask mandates, saying the governor had exceeded his authority. CPS says\xe2\x80\xa6 https://t.co/uty1UUrTWz'",b'CheerfulPatriot',"b'Chicago, IL'"
,,,
06-02-2022 15:56,b'More interesting. @ihsa @idph @GovPritzker no masks and everything was fine. #maskoff all high schools all sports a\xe2\x80\xa6 https://t.co/vjQx7MnCsq',b'urbeinglied2',"b'Chicago, IL'"
,,,
06-02-2022 15:23,b'#TrustTheScience \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\n\n#makeitmakesense \n#COVIDIOT \n#PANTYHOSESTOCKINGS \n#MaskOff \n#masksdontwork \n#DoNotComplyEVER\xe2\x80\xa6 https://t.co/kAaJYe5rO0',b'CheerfulPatriot',"b'Chicago, IL'"
,,,
06-02-2022 11:00,"b'\xe2\x80\x9cSome will love you for who you are, others will the mask you wear. Thank you for loving me still even when I took\xe2\x80\xa6 https://t.co/CmDFp7372a'",b'IndiaHappyou',b'Bengaluru'
,,,
06-02-2022 07:33,b'@podwitchers @PaulSchlienz In the last month I\xe2\x80\x99ve been in Federal Way and Kent TJ\xe2\x80\x99s and although I have been the on\xe2\x80\xa6 https://t.co/AQ5N7n4TMe',b'nabi_nadahoy',b'mi tierra'
,,,
06-02-2022 05:53,b'@TheoFleury14 Not buying it. Went to a grocery store today and I was the only unmasked person in their. Again. 2 ye\xe2\x80\xa6 https://t.co/pmZYpxfcTT',b'juniorminingpro',"b'Toronto, Canada'"
,,,
06-02-2022 04:45,b'@Lukewearechange Those are more then trucker drivers .looks like support.  #maskoff #NoVaccineMandates #FreedomConvoyCanada2022',b'Bayareamade',b'San Francisco Bay Area'
,,,
06-02-2022 04:26,"b'@Tyson_James_ ""I Take My #MaskOff""\n\xf0\x9f\x9a\xab\xf0\x9f\x98\xb7\xf0\x9f\x9a\xab\nhttps://t.co/RsIWFUSAnx\n\n~ dedicated to ALL the #STUDENTS standing against h\xe2\x80\xa6 https://t.co/HWbJ2ydppn'",b'SwiftRead',"b'\xce\x9c\xce\x9f\xce\x9b\xce\xa9\xce\x9d\xce\x9b\xce\x91\xce\x92\xce\x95 from CNY to CNC, USA'"
,,,
05-02-2022 12:04,b'@insidethedome55 @dtisseyre I will NEVER wear a mask.\n\n\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\n\n#MaskOFF #DoNotComply',b'GhettoTrader500',b''
,,,
05-02-2022 07:12,b'@OakdaleJUSD \n\nWow!! What the hell?!!\n\nStaff should be in prison\n\n#MaskOff https://t.co/bxQx3E1n3h',b'VoteBAnn',b''
,,,
05-02-2022 07:08,b'@OakdaleJUSD What is wrong with you people? Those staff should be in jail\n\nWe\xe2\x80\x99re gonna light up social media with y\xe2\x80\xa6 https://t.co/TPh1lKDtVG',b'VoteBAnn',b''
,,,
05-02-2022 05:59,b'Departing thought for the night\n#maskoff https://t.co/jmdX3uhH9Q',b'capitaine_jan',b'Captiva Island \xf0\x9f\x8c\x8a '
